2021-07-23 13:49:22 status unpacked lsb-base:all 9.20170808ubuntu1
2021-07-23 13:49:22 status unpacked lsb-base:all 9.20170808ubuntu1
2021-07-23 13:49:22 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2021-07-23 13:49:22 status half-configured mawk:amd64 1.3.3-17ubuntu3
2021-07-23 13:49:22 status unpacked mawk:amd64 1.3.3-17ubuntu3
2021-07-23 13:49:22 status half-installed mawk:amd64 1.3.3-17ubuntu3
2021-07-23 13:49:22 status half-installed mawk:amd64 1.3.3-17ubuntu3
2021-07-23 13:49:22 status unpacked mawk:amd64 1.3.3-17ubuntu3
2021-07-23 13:49:22 status unpacked mawk:amd64 1.3.3-17ubuntu3
2021-07-23 13:49:22 install mount:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status half-installed mount:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 install ncurses-base:all <none> 6.1-1ubuntu1
2021-07-23 13:49:22 status half-installed ncurses-base:all 6.1-1ubuntu1
2021-07-23 13:49:22 status unpacked ncurses-base:all 6.1-1ubuntu1
2021-07-23 13:49:22 status unpacked ncurses-base:all 6.1-1ubuntu1
2021-07-23 13:49:22 install ncurses-bin:amd64 <none> 6.1-1ubuntu1
2021-07-23 13:49:22 status half-installed ncurses-bin:amd64 6.1-1ubuntu1
2021-07-23 13:49:22 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2021-07-23 13:49:22 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2021-07-23 13:49:22 install passwd:amd64 <none> 1:4.5-1ubuntu1
2021-07-23 13:49:22 status half-installed passwd:amd64 1:4.5-1ubuntu1
2021-07-23 13:49:22 status unpacked passwd:amd64 1:4.5-1ubuntu1
2021-07-23 13:49:22 status unpacked passwd:amd64 1:4.5-1ubuntu1
2021-07-23 13:49:22 upgrade perl-base:amd64 5.26.1-6 5.26.1-6
2021-07-23 13:49:22 status half-configured perl-base:amd64 5.26.1-6
2021-07-23 13:49:22 status unpacked perl-base:amd64 5.26.1-6
2021-07-23 13:49:22 status half-installed perl-base:amd64 5.26.1-6
2021-07-23 13:49:23 status half-installed perl-base:amd64 5.26.1-6
2021-07-23 13:49:23 status unpacked perl-base:amd64 5.26.1-6
2021-07-23 13:49:23 status unpacked perl-base:amd64 5.26.1-6
2021-07-23 13:49:23 install procps:amd64 <none> 2:3.3.12-3ubuntu1
2021-07-23 13:49:23 status half-installed procps:amd64 2:3.3.12-3ubuntu1
2021-07-23 13:49:23 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2021-07-23 13:49:23 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2021-07-23 13:49:23 install sed:amd64 <none> 4.4-2
2021-07-23 13:49:23 status half-installed sed:amd64 4.4-2
